iter	Passed	Remaining
201	338	1336
202	339	1331
203	340	1326
204	340	1321
205	341	1317
206	342	1312
207	343	1307
208	344	1302
209	345	1298
210	345	1293
211	346	1289
212	347	1284
213	348	1280
214	349	1276
215	350	1272
216	351	1268
217	352	1264
218	353	1259
219	354	1255
220	354	1250
221	355	1246
222	356	1242
223	357	1237
224	358	1233
225	359	1229
226	359	1225
227	360	1221
228	361	1216
229	362	1213
230	363	1209
231	364	1205
232	364	1201
233	365	1197
234	366	1193
235	367	1189
236	368	1185
237	368	1181
238	369	1177
239	370	1173
240	371	1169
241	372	1165
242	373	1162
243	374	1158
244	374	1155
245	375	1151
246	376	1148
247	377	1144
248	378	1140
249	379	1137
250	379	1133
251	380	1129
252	381	1126
253	382	1122
254	383	1119
255	383	1115
256	384	1112
257	385	1109
258	386	1106
259	387	1102
260	388	1099
261	389	1096
262	390	1093
263	390	1089
264	391	1086
265	392	1083
266	393	1080
267	394	1076
268	395	1074
269	396	1071
270	397	1068
271	397	1065
272	398	1062
273	399	1059
274	400	1056
275	401	1052
276	402	1049
277	402	1046
278	403	1043
279	404	1040
280	405	1037
281	406	1034
282	407	1031
283	408	1029
284	409	1026
285	410	1023
286	410	1020
287	411	1018
288	412	1015
289	413	1012
290	414	1009
291	415	1006
292	416	1003
293	416	1001
294	417	998
295	418	995
296	419	993
297	420	990
298	421	987
299	422	985
300	423	982
301	423	979
302	424	977
303	425	974
304	426	971
305	427	968
306	428	967
307	429	965
308	430	962
309	431	959
310	432	957
311	432	954
312	433	952
313	434	949
314	435	947
315	436	944
316	437	942
317	438	939
318	438	937
319	439	934
320	440	931
321	441	929
322	442	926
323	443	924
324	444	922
325	444	919
326	445	917
327	446	915
328	447	912
329	448	910
330	449	908
331	450	905
332	451	903
333	451	901
334	452	898
335	453	896
336	454	894
337	455	892
338	456	889
339	457	887
340	458	885
341	459	883
342	460	881
343	461	879
344	461	876
345	462	875
346	463	872
347	464	870
348	465	868
349	466	866
350	467	863
351	467	861
352	468	859
353	469	857
354	470	855
355	471	853
356	472	850
357	473	848
358	474	846
359	475	844
360	475	842
361	476	840
362	477	837
363	478	835
364	479	833
365	480	831
366	481	829
367	482	827
368	482	825
369	483	823
370	484	821
371	485	819
372	486	817
373	487	815
374	487	813
375	488	810
376	489	808
377	489	806
378	490	803
379	491	801
380	491	799
381	492	797
382	493	794
383	494	792
384	494	790
385	495	788
386	496	786
387	497	784
388	497	782
389	498	779
390	499	777
391	500	775
392	500	773
393	501	771
394	502	769
395	502	766
396	503	764
397	504	762
398	504	760
399	505	758
400	506	756
401	507	754
402	507	752
403	508	750
404	509	748
405	510	746
406	510	744
407	511	742
408	512	740
409	512	738
410	513	736
411	514	734
412	515	732
413	515	730
414	516	728
415	517	726
416	517	724
417	518	722
418	519	720
419	520	718
420	520	716
421	521	714
422	522	712
423	523	710
424	523	708
425	524	706
426	525	704
427	525	702
428	526	700
429	527	699
430	528	697
431	528	695
432	529	693
433	530	691
434	530	689
435	531	687
436	532	685
437	533	683
438	533	682
439	534	680
440	535	678
441	535	676
442	536	674
443	537	672
444	538	671
445	538	669
446	539	667
447	540	665
448	541	663
449	541	662
450	542	660
451	543	658
452	543	656
453	544	655
454	545	653
455	546	651
456	546	649
457	547	647
458	548	646
459	549	644
460	549	642
461	550	640
462	551	639
463	551	637
464	552	635
465	553	633
466	553	632
467	554	630
468	555	628
469	556	627
470	556	625
471	557	623
472	558	621
473	558	620
474	559	618
475	560	616
476	561	615
477	561	613
478	562	611
479	563	610
480	563	608
481	564	606
